ak;akt;*
al;ctm;*
ar;ctm;*
as;st;*
az;mt;*
ca;pt;*
co;mt;*
ct;et;*
dc;et;*
de;et;*
fl;et;*
ga;et;*
gu;cht;*
hi;hat;*
ia;ctm;*
id;mt;*
il;ctm;*
in;et;*
ks;ctm;*
ky;et;*
la;ctm;*
ma;et;*
md;et;*
me;et;*
mi;et;*
mn;ctm;*
mo;ctm;*
mp;cht;*
ms;ctm;*
mt;mt;*
nc;et;*
nd;ctm;*
ne;ctm;*
nh;et;*
nj;et;*
nm;mt;*
nv;pt;*
ny;et;*
oc;pt;*
oh;et;*
ok;ctm;*
or;pt;*
pa;et;*
pr;at;*
ri;et;*
sc;et;*
sd;ctm;*
tn;et;*
tx;ctm;*
ut;mt;*
va;et;*
vi;at;*
vt;et;*
wa;pt;*
wi;ctm;*
wv;et;*
wy;mt;*
